Timestamp;US1Value;US2Value
24.04.2021 20:38;275;609
24.04.2021 20:43;275;608
24.04.2021 20:48;275;607
24.04.2021 20:53;275;605
24.04.2021 20:58;275;605
24.04.2021 21:03;275;604
24.04.2021 21:08;275;603
24.04.2021 21:13;275;603
24.04.2021 21:18;274;603
24.04.2021 21:23;274;602
24.04.2021 21:28;274;601
24.04.2021 21:33;275;601
24.04.2021 21:38;275;600
24.04.2021 21:43;275;600
24.04.2021 21:48;275;599
24.04.2021 21:53;453;598
24.04.2021 21:58;431;677
24.04.2021 22:03;231;707
24.04.2021 22:08;234;671
24.04.2021 22:13;234;663
24.04.2021 22:18;234;659
24.04.2021 22:23;234;656
24.04.2021 22:28;234;654
24.04.2021 22:33;234;653
24.04.2021 22:38;234;652
24.04.2021 22:43;234;652
24.04.2021 22:48;234;650
24.04.2021 22:53;234;650
24.04.2021 22:58;234;650
24.04.2021 23:03;234;649
24.04.2021 23:08;234;648
24.04.2021 23:13;234;648
24.04.2021 23:18;234;648
24.04.2021 23:23;234;647
24.04.2021 23:28;234;646
24.04.2021 23:33;234;646
24.04.2021 23:38;234;645
24.04.2021 23:43;234;645
24.04.2021 23:48;234;645
24.04.2021 23:53;234;644
24.04.2021 23:58;234;644
